'TrafficShaping.phase_zero_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.prefix_card_le_sub_of_terminal_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.privacyRho' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.privacy_gap_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.privacy_gap_isBigO_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.privacy_gap_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.privacy_gap_uniform_inverse_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.scan_ops_le_five_mul_H' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.scan_true_iff_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.terminal' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.testBlockCount_eq_real_ceil' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.thinContainment_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.thinningOutput_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.thinning_mass_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.value' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.worst' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.zero_delay_m_one_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.zero_delay_m_one_optimum_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.zero_delay_offGameValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.zero_delay_onGameValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.zero_delay_onGameValue_zero_of_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.corollary3_eq20' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.perfectSchedule_card' depends on axioms: [propext, Classical.choice, Quot.sound]
